Check these out
Company name: Estately, domain: estately.com
Company name: TeamSupport.com, domain: teamsupport.com
Company name: Lambda Solutions, domain: lambdasolutions.net
Company name: Spire, domain: spire.io
Company name: SumZero, domain: sumzero.com
Company name: AffinityLive, domain: affinitylive.com
Company name: PolicyStat, domain: policystat.com
Company name: Proformative, domain: proformative.com
Company name: Kibin, domain: kibin.com
Company name: Gobbler, domain: gobbler.com
Company name: GiftRocket, domain: giftrocket.com
Company name: Simplebooklet, domain: simplebooklet.com
Company name: eFuneral, domain: efuneral.com
Company name: Sqord, domain: sqord.com
Company name: GlobalMojo, domain: givingassistant.org
Company name: Zane Benefits Inc, domain: zanebenefits.com
Company name: MetaCert, domain: metacert.com
Company name: Spinzo, domain: spinzo.com
Company name: Tallyfy Ltd., domain: tallyfy.com
Company name: Privy, domain: privy.com
Company name: Rizzoma, domain: rizzoma.com
Company name: FoldiMate, domain: foldimate.com
Company name: Zidisha, domain: zidisha.org
Company name: CompleteSet, domain: completeset.com
Company name: Bright Pattern, domain: brightpattern.com
Company name: Goalbook, domain: goalbookapp.com
Company name: Tred, domain: tred.com
Company name: The 3Doodler, domain: the3doodler.com
Company name: Quandora, domain: quandora.com
Company name: FitBark, domain: fitbark.com
Company name: New Avenue Inc, domain: newavenuehomes.com
Company name: BackerKit, domain: backerkit.com
Company name: Store Vantage, domain: storevantage.com
Company name: Stylitics, domain: stylitics.com
Company name: Seamless Medical Systems, domain: seamlessmedical.com
Company name: NextUser, domain: nextuser.com
Company name: iCrumz, domain: icrumz.com
Company name: Promolta, domain: promolta.com
Company name: WigWag, domain: wigwag.com
Company name: Good.Co, domain: good.co
Company name: Dagne Dover, domain: dagnedover.com
Company name: iFlipd, domain: iflipd.com
Company name: Placements, domain: placements.io
Company name: foodjunky, domain: foodjunky.com
Company name: HelpHub.me, domain: helphub.me
Company name: Pathgather, domain: pathgather.com
Company name: Underground Cellar, domain: undergroundcellar.com
Company name: Style Sage, domain: stylesage.co
Company name: Bonusly, domain: bonus.ly
Company name: Instaply, domain: instaply.com
